date, country, totalcases, newcases, totaldeath, newdeath, totalrecovered, activecases, seriouscases, totaltests,death/case,totaltest/totalcases,trec/tcases
4/10/2020,China,81865,63,3335,2,77370,1160,176,,4.10%,,95%
4/10/2020,USA,468566,33536,16691,1900,25928,425947,10011,2353096,3.60%,19.90%,6%
4/10/2020,Spain,153222,5002,15447,655,52165,85610,7371,355000,10.10%,43.20%,34%
4/10/2020,Italy,143626,4204,18279,610,28470,96877,3605,853369,12.70%,16.80%,20%
4/10/2020,Germany,118235,4939,2607,258,52407,63221,4895,1317887,2.20%,9.00%,44%
4/10/2020,France,117749,4799,12210,1341,23206,82333,7066,333807,10.40%,35.30%,20%
4/10/2020,Iran,66220,1634,4110,117,32309,29801,3918,231393,6.20%,28.60%,49%
4/10/2020,UK,65077,4344,7978,881,135,56964,1559,298169,12.30%,21.80%,0%
4/10/2020,Turkey,42282,4056,908,96,2142,39232,1552,276338,2.10%,15.30%,5%
4/10/2020,Belgium,24983,1580,2523,283,5164,17296,1285,84248,10.10%,29.70%,21%
4/10/2020,Switzerland,24051,771,948,53,10600,12503,386,178500,3.90%,13.50%,44%
4/10/2020,Netherlands,21762,1213,2396,148,250,19116,1424,101534,11.00%,21.40%,1%
4/10/2020,Canada,20765,1327,509,82,5311,14945,518,370315,2.50%,5.60%,26%
4/10/2020,Brazil,18145,1957,954,134,173,17018,296,62985,5.30%,28.80%,1%
4/10/2020,Portugal,13956,815,409,29,205,13342,241,140368,2.90%,9.90%,1%
4/10/2020,Austria,13244,302,295,22,5240,7709,266,126287,2.20%,10.50%,40%
4/10/2020,S. Korea,10423,39,204,4,6973,3246,55,477304,2.00%,2.20%,67%
4/10/2020,Russia,10131,1459,76,13,698,9357,8,1004719,0.80%,1.00%,7%
4/10/2020,Israel,9968,564,86,13,1011,8871,166,117339,0.90%,8.50%,10%
4/10/2020,Sweden,9141,722,793,106,205,8143,719,54700,8.70%,16.70%,2%
4/10/2020,India,6725,809,227,49,635,5863,,177584,3.40%,3.80%,9%
4/10/2020,Ireland,6574,500,263,28,25,6286,165,53000,4.00%,12.40%,0%
4/10/2020,Norway,6219,177,108,7,32,6079,78,121034,1.70%,5.10%,1%
4/10/2020,Australia,6152,100,51,1,2987,3114,81,330134,0.80%,1.90%,49%
4/10/2020,Chile,5972,426,57,9,1274,4641,360,68353,1.00%,8.70%,21%
4/10/2020,Denmark,5635,233,237,19,1736,3662,120,64002,4.20%,8.80%,31%
4/10/2020,Poland,5575,370,174,15,284,5117,160,107597,3.10%,5.20%,5%
4/10/2020,Czechia,5569,257,112,13,301,5156,96,106845,2.00%,5.20%,5%
4/10/2020,Japan,5347,680,99,5,685,4563,109,61498,1.90%,8.70%,13%
4/10/2020,Peru,5256,914,138,17,1438,3680,124,48465,2.60%,10.80%,27%
4/10/2020,Romania,5202,441,248,28,647,4307,178,51802,4.80%,10.00%,12%
